stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
65,0.5,1.0,66.9671277999878,,66.95270740002161,66.9671277999878,67.46771029999945,67.46771029999945,67.46771029999945,67.76880700001493,67.85129399999278,right,1.0,1,1,0.37864129996160045,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
66,0.5,1.0,67.86670010001399,,67.85137739998754,67.86670010001399,68.3504880000255,68.3504880000255,68.36703950003721,68.65086310001789,68.75118770002155,right,1.0,1,1,0.39345350000075996,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
67,0.5,1.0,68.76694850000786,,68.75127730000531,68.76694850000786,69.25091090000933,69.25091090000933,69.2671074999962,69.55175179999787,70.05289340001764,left,-1.0,1,1,0.7861858999822289,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
68,0.5,1.0,70.06779719999759,,70.05303700000513,70.06779719999759,70.56773360003717,70.56773360003717,70.56773360003717,70.86776890000328,70.94972650002455,left,-1.0,0,0,0.3700326000107452,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
69,0.5,1.5,70.96628709998913,,70.9498151000007,70.96628709998913,71.45024169998942,71.45024169998942,71.4668807000271,71.74977200001013,71.85035780002363,left,-1.5,0,0,0.3908006999990903,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
70,0.5,2.0,71.86653210001532,,71.85045550001087,71.86653210001532,72.35020330001134,72.35020330001134,72.36693150002975,72.6511482000351,72.8525466999854,left,-2.0,1,1,0.49859899998409674,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
71,0.5,2.0,72.86679950001417,,72.85270560003119,72.86679950001417,73.3662553000031,73.3662553000031,73.3662553000031,73.66574840003159,73.84935949998908,left,-2.0,1,1,0.4734974000020884,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
72,0.5,2.0,73.86582020000787,,73.849534100038,73.86582020000787,74.35044950002339,74.35044950002339,74.36726890003774,74.66634019999765,74.78315209998982,right,2.0,1,1,0.421483599988278,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
73,0.5,1.5,74.79885369999101,,74.78329970000777,74.79885369999101,75.28309470001841,75.28309470001841,75.29957259999355,75.58312269998714,75.81808180001099,left,-1.5,1,1,0.5271134999929927,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
74,0.5,1.5,75.83297849999508,,75.81822870002361,75.83297849999508,76.33167540002614,76.33167540002614,76.33167540002614,76.63212810002733,76.68344430002617,right,1.5,1,1,0.33907609997550026,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
